line,station,color,date,population
Blue,頂埔,#0070BB,2024-01-01,29803
Blue,永寧,#0070BB,2024-01-01,24992
Blue,土城,#0070BB,2024-01-01,76853
Blue,海山,#0070BB,2024-01-01,85492
Blue,亞東醫院,#0070BB,2024-01-01,77996
Blue,府中,#0070BB,2024-01-01,74086
Blue,板橋,#0070BB,2024-01-01,63142
Blue,新埔,#0070BB,2024-01-01,8842
Blue,江子翠,#0070BB,2024-01-01,71773
Blue,龍山寺,#0070BB,2024-01-01,24316
Blue,西門,#0070BB,2024-01-01,89285
Blue,台北車站,#0070BB,2024-01-01,87200
Blue,善導寺,#0070BB,2024-01-01,63678
Blue,忠孝新生,#0070BB,2024-01-01,87247
Blue,忠孝復興,#0070BB,2024-01-01,25919
Blue,國父紀念館,#0070BB,2024-01-01,55112
Blue,頂埔,#0070BB,2024-01-02,11886
Blue,永寧,#0070BB,2024-01-02,53401
Blue,土城,#0070BB,2024-01-02,69203
Blue,海山,#0070BB,2024-01-02,54465
Blue,亞東醫院,#0070BB,2024-01-02,63325
Blue,府中,#0070BB,2024-01-02,27448
Blue,板橋,#0070BB,2024-01-02,34640
Blue,新埔,#0070BB,2024-01-02,26317
Blue,江子翠,#0070BB,2024-01-02,63826
Blue,龍山寺,#0070BB,2024-01-02,5336
Blue,西門,#0070BB,2024-01-02,3408
Blue,台北車站,#0070BB,2024-01-02,4428
Blue,善導寺,#0070BB,2024-01-02,11161
Blue,忠孝新生,#0070BB,2024-01-02,33517
Blue,忠孝復興,#0070BB,2024-01-02,73438
Blue,國父紀念館,#0070BB,2024-01-02,87531
Blue,頂埔,#0070BB,2024-01-03,40959
Blue,永寧,#0070BB,2024-01-03,52690
Blue,土城,#0070BB,2024-01-03,49506
Blue,海山,#0070BB,2024-01-03,52552
Blue,亞東醫院,#0070BB,2024-01-03,78496
Blue,府中,#0070BB,2024-01-03,86945
Blue,板橋,#0070BB,2024-01-03,32261
Blue,新埔,#0070BB,2024-01-03,17123
Blue,江子翠,#0070BB,2024-01-03,35232
Blue,龍山寺,#0070BB,2024-01-03,70965
Blue,西門,#0070BB,2024-01-03,87070
Blue,台北車站,#0070BB,2024-01-03,59817
