line,station,date,people
Brown,松山機場,2024-01-01,7826
Brown,中山國中,2024-01-01,13441
Brown,南京復興,2024-01-01,17202
Brown,忠孝復興,2024-01-01,24560
Brown,大安,2024-01-01,8569
Brown,科技大樓,2024-01-01,13323
Brown,六張犁,2024-01-01,12036
Brown,麟光,2024-01-01,5949
Brown,辛亥,2024-01-01,4110
Brown,萬芳醫院,2024-01-01,12023
Brown,萬芳社區,2024-01-01,2683
Brown,木柵,2024-01-01,5244
Brown,動物園,2024-01-01,17263
Brown,大直,2024-01-01,9205
Brown,劍南路,2024-01-01,19038
Brown,西湖,2024-01-01,7728
Brown,港墘,2024-01-01,10064
Brown,文德,2024-01-01,6371
Brown,內湖,2024-01-01,13355
Brown,大湖公園,2024-01-01,8249
Brown,葫洲,2024-01-01,9088
Brown,東湖,2024-01-01,9322
Brown,南港軟體園區,2024-01-01,4755
Brown,南港展覽館,2024-01-01,11522
Brown,松山機場,2024-01-02,9628
Brown,中山國中,2024-01-02,27345
Brown,南京復興,2024-01-02,42778
Brown,忠孝復興,2024-01-02,30275
Brown,大安,2024-01-02,23778
Brown,科技大樓,2024-01-02,27818
Brown,六張犁,2024-01-02,22318
Brown,麟光,2024-01-02,8349
Brown,辛亥,2024-01-02,6788
Brown,萬芳醫院,2024-01-02,25356
Brown,萬芳社區,2024-01-02,4868
Brown,木柵,2024-01-02,9209
Brown,動物園,2024-01-02,14885
Brown,大直,2024-01-02,19226
Brown,劍南路,2024-01-02,22724
Brown,西湖,2024-01-02,32886
Brown,港墘,2024-01-02,37916
Brown,文德,2024-01-02,11627
Brown,內湖,2024-01-02,19504
Brown,大湖公園,2024-01-02,8148
Brown,葫洲,2024-01-02,17523
Brown,東湖,2024-01-02,17313
Brown,南港軟體園區,2024-01-02,13826
Brown,南港展覽館,2024-01-02,21905
Brown,松山機場,2024-01-03,9529
Brown,中山國中,2024-01-03,28922
Brown,南京復興,2024-01-03,45019
Brown,忠孝復興,2024-01-03,32160
Brown,大安,2024-01-03,24754
Brown,科技大樓,2024-01-03,29119
Brown,六張犁,2024-01-03,22711
Brown,麟光,2024-01-03,8406
Brown,辛亥,2024-01-03,6882
Brown,萬芳醫院,2024-01-03,27352
Brown,萬芳社區,2024-01-03,4831
Brown,木柵,2024-01-03,9212
Brown,動物園,2024-01-03,10246
Brown,大直,2024-01-03,19498
Brown,劍南路,2024-01-03,22611
Brown,西湖,2024-01-03,33965
Brown,港墘,2024-01-03,39636
Brown,文德,2024-01-03,11923
Brown,內湖,2024-01-03,19960
Brown,大湖公園,2024-01-03,6703
Brown,葫洲,2024-01-03,18168
Brown,東湖,2024-01-03,17207
Brown,南港軟體園區,2024-01-03,14799
Brown,南港展覽館,2024-01-03,22667
Brown,松山機場,2024-01-04,9423
Brown,中山國中,2024-01-04,28709
Brown,南京復興,2024-01-04,45819
Brown,忠孝復興,2024-01-04,32905
Brown,大安,2024-01-04,25371
Brown,科技大樓,2024-01-04,28988
Brown,六張犁,2024-01-04,22763
Brown,麟光,2024-01-04,8442
Brown,辛亥,2024-01-04,7070
Brown,萬芳醫院,2024-01-04,25984
Brown,萬芳社區,2024-01-04,4863
Brown,木柵,2024-01-04,9169
Brown,動物園,2024-01-04,13169
Brown,大直,2024-01-04,20123
Brown,劍南路,2024-01-04,24241
Brown,西湖,2024-01-04,34199
Brown,港墘,2024-01-04,39345
Brown,文德,2024-01-04,12218
Brown,內湖,2024-01-04,20339
Brown,大湖公園,2024-01-04,7773
Brown,葫洲,2024-01-04,18372
Brown,東湖,2024-01-04,17349
Brown,南港軟體園區,2024-01-04,14378
Brown,南港展覽館,2024-01-04,26560
Brown,松山機場,2024-01-05,10168
Brown,中山國中,2024-01-05,30410
Brown,南京復興,2024-01-05,47954
Brown,忠孝復興,2024-01-05,37005
Brown,大安,2024-01-05,25991
Brown,科技大樓,2024-01-05,29822
Brown,六張犁,2024-01-05,24096
Brown,麟光,2024-01-05,8838
Brown,辛亥,2024-01-05,7300
Brown,萬芳醫院,2024-01-05,27909
Brown,萬芳社區,2024-01-05,5150
Brown,木柵,2024-01-05,9513
Brown,動物園,2024-01-05,14282
Brown,大直,2024-01-05,20629
Brown,劍南路,2024-01-05,27525
Brown,西湖,2024-01-05,34501
Brown,港墘,2024-01-05,39937
Brown,文德,2024-01-05,13077
Brown,內湖,2024-01-05,21407
Brown,大湖公園,2024-01-05,9004
Brown,葫洲,2024-01-05,19055
Brown,東湖,2024-01-05,18565
Brown,南港軟體園區,2024-01-05,14824
Brown,南港展覽館,2024-01-05,23286
Brown,松山機場,2024-01-06,6775
Brown,中山國中,2024-01-06,18885
Brown,南京復興,2024-01-06,27650
Brown,忠孝復興,2024-01-06,34575
Brown,大安,2024-01-06,15014
Brown,科技大樓,2024-01-06,21103
Brown,六張犁,2024-01-06,16861
Brown,麟光,2024-01-06,7593
Brown,辛亥,2024-01-06,5609
Brown,萬芳醫院,2024-01-06,15879
Brown,萬芳社區,2024-01-06,3447
Brown,木柵,2024-01-06,6703
Brown,動物園,2024-01-06,16974
Brown,大直,2024-01-06,13212
Brown,劍南路,2024-01-06,23850
Brown,西湖,2024-01-06,10833
Brown,港墘,2024-01-06,15024
Brown,文德,2024-01-06,8683
Brown,內湖,2024-01-06,17920
Brown,大湖公園,2024-01-06,9729
Brown,葫洲,2024-01-06,11766
Brown,東湖,2024-01-06,12496
Brown,南港軟體園區,2024-01-06,5295
Brown,南港展覽館,2024-01-06,18580
Brown,松山機場,2024-01-07,6800
Brown,中山國中,2024-01-07,14710
Brown,南京復興,2024-01-07,20718
Brown,忠孝復興,2024-01-07,25520
Brown,大安,2024-01-07,11017
Brown,科技大樓,2024-01-07,17647
Brown,六張犁,2024-01-07,12815
Brown,麟光,2024-01-07,6287
Brown,辛亥,2024-01-07,4475
Brown,萬芳醫院,2024-01-07,12276
Brown,萬芳社區,2024-01-07,2881
Brown,木柵,2024-01-07,5047
Brown,動物園,2024-01-07,13072
Brown,大直,2024-01-07,10631
Brown,劍南路,2024-01-07,19457
Brown,西湖,2024-01-07,8200
Brown,港墘,2024-01-07,11409
Brown,文德,2024-01-07,6830
Brown,內湖,2024-01-07,14067
Brown,大湖公園,2024-01-07,7391
Brown,葫洲,2024-01-07,9249
Brown,東湖,2024-01-07,10115
Brown,南港軟體園區,2024-01-07,4477
Brown,南港展覽館,2024-01-07,9179
Brown,松山機場,2024-01-08,9553
Brown,中山國中,2024-01-08,27467
Brown,南京復興,2024-01-08,43280
Brown,忠孝復興,2024-01-08,30238
Brown,大安,2024-01-08,23864
Brown,科技大樓,2024-01-08,26664
Brown,六張犁,2024-01-08,21766
Brown,麟光,2024-01-08,8205
Brown,辛亥,2024-01-08,6941
Brown,萬芳醫院,2024-01-08,24632
Brown,萬芳社區,2024-01-08,4868
Brown,木柵,2024-01-08,9073
Brown,動物園,2024-01-08,10048
Brown,大直,2024-01-08,19120
Brown,劍南路,2024-01-08,22144
Brown,西湖,2024-01-08,33221
Brown,港墘,2024-01-08,37468
Brown,文德,2024-01-08,11820
Brown,內湖,2024-01-08,19146
Brown,大湖公園,2024-01-08,7932
Brown,葫洲,2024-01-08,17390
Brown,東湖,2024-01-08,17061
Brown,南港軟體園區,2024-01-08,13995
Brown,南港展覽館,2024-01-08,21860
Brown,松山機場,2024-01-09,9083
Brown,中山國中,2024-01-09,28666
Brown,南京復興,2024-01-09,45538
Brown,忠孝復興,2024-01-09,32102
Brown,大安,2024-01-09,24917
Brown,科技大樓,2024-01-09,27987
Brown,六張犁,2024-01-09,22838
Brown,麟光,2024-01-09,8382
Brown,辛亥,2024-01-09,7072
Brown,萬芳醫院,2024-01-09,24165
Brown,萬芳社區,2024-01-09,4993
Brown,木柵,2024-01-09,9366
Brown,動物園,2024-01-09,11518
Brown,大直,2024-01-09,18146
Brown,劍南路,2024-01-09,22863
Brown,西湖,2024-01-09,34373
Brown,港墘,2024-01-09,39336
Brown,文德,2024-01-09,11892
Brown,內湖,2024-01-09,19677
Brown,大湖公園,2024-01-09,7196
Brown,葫洲,2024-01-09,18020
Brown,東湖,2024-01-09,17628
Brown,南港軟體園區,2024-01-09,14656
Brown,南港展覽館,2024-01-09,22236
Brown,松山機場,2024-01-10,9339
Brown,中山國中,2024-01-10,28799
Brown,南京復興,2024-01-10,45953
Brown,忠孝復興,2024-01-10,32902
Brown,大安,2024-01-10,24956
Brown,科技大樓,2024-01-10,28468
Brown,六張犁,2024-01-10,22724
Brown,麟光,2024-01-10,8444
Brown,辛亥,2024-01-10,7383
Brown,萬芳醫院,2024-01-10,24072
Brown,萬芳社區,2024-01-10,5161
Brown,木柵,2024-01-10,9369
Brown,動物園,2024-01-10,11317
Brown,大直,2024-01-10,18060
Brown,劍南路,2024-01-10,23001
Brown,西湖,2024-01-10,34299
Brown,港墘,2024-01-10,39291
Brown,文德,2024-01-10,11957
Brown,內湖,2024-01-10,20255
Brown,大湖公園,2024-01-10,7452
Brown,葫洲,2024-01-10,18398
Brown,東湖,2024-01-10,17772
Brown,南港軟體園區,2024-01-10,14408
Brown,南港展覽館,2024-01-10,22395
Brown,松山機場,2024-01-11,9746
Brown,中山國中,2024-01-11,29630
Brown,南京復興,2024-01-11,46981
Brown,忠孝復興,2024-01-11,33614
Brown,大安,2024-01-11,25482
Brown,科技大樓,2024-01-11,28506
Brown,六張犁,2024-01-11,23466
Brown,麟光,2024-01-11,8831
Brown,辛亥,2024-01-11,7231
Brown,萬芳醫院,2024-01-11,24495
Brown,萬芳社區,2024-01-11,5025
Brown,木柵,2024-01-11,9495
Brown,動物園,2024-01-11,12863
Brown,大直,2024-01-11,17937
Brown,劍南路,2024-01-11,24988
Brown,西湖,2024-01-11,34765
