line,station,color,date,population
Brown,動物園,#BB7744,2024-01-01,41597
Brown,木柵,#BB7744,2024-01-01,2426
Brown,萬芳社區,#BB7744,2024-01-01,25021
Brown,萬芳醫院,#BB7744,2024-01-01,19377
Brown,辛亥,#BB7744,2024-01-01,87495
Brown,麟光,#BB7744,2024-01-01,11397
Brown,六張犁,#BB7744,2024-01-01,32914
Brown,科技大樓,#BB7744,2024-01-01,2055
Brown,大安,#BB7744,2024-01-01,28208
Brown,忠孝復興,#BB7744,2024-01-01,41831
Brown,南京復興,#BB7744,2024-01-01,82478
Brown,中山國中,#BB7744,2024-01-01,47564
Brown,動物園,#BB7744,2024-01-02,7196
Brown,木柵,#BB7744,2024-01-02,83899
Brown,萬芳社區,#BB7744,2024-01-02,13694
Brown,萬芳醫院,#BB7744,2024-01-02,35371
Brown,辛亥,#BB7744,2024-01-02,27324
Brown,麟光,#BB7744,2024-01-02,65293
Brown,六張犁,#BB7744,2024-01-02,58705
Brown,科技大樓,#BB7744,2024-01-02,17589
Brown,大安,#BB7744,2024-01-02,14041
Brown,忠孝復興,#BB7744,2024-01-02,85502
Brown,南京復興,#BB7744,2024-01-02,77008
Brown,中山國中,#BB7744,2024-01-02,21053
Brown,動物園,#BB7744,2024-01-03,50376
Brown,木柵,#BB7744,2024-01-03,42623
Brown,萬芳社區,#BB7744,2024-01-03,71247
Brown,萬芳醫院,#BB7744,2024-01-03,67822
Brown,辛亥,#BB7744,2024-01-03,2853
Brown,麟光,#BB7744,2024-01-03,45596
Brown,六張犁,#BB7744,2024-01-03,32966
Brown,科技大樓,#BB7744,2024-01-03,5384
Brown,大安,#BB7744,2024-01-03,52784
Brown,忠孝復興,#BB7744,2024-01-03,46122
Brown,南京復興,#BB7744,2024-01-03,23251
Brown,中山國中,#BB7744,2024-01-03,7559
Brown,動物園,#BB7744,2024-01-04,65840
Brown,木柵,#BB7744,2024-01-04,53730
Brown,萬芳社區,#BB7744,2024-01-04,59272
Brown,萬芳醫院,#BB7744,2024-01-04,20643
Brown,辛亥,#BB7744,2024-01-04,30203
Brown,麟光,#BB7744,2024-01-04,21386
Brown,六張犁,#BB7744,2024-01-04,32107
Brown,科技大樓,#BB7744,2024-01-04,1475
Brown,大安,#BB7744,2024-01-04,48397
Brown,忠孝復興,#BB7744,2024-01-04,74433
Brown,南京復興,#BB7744,2024-01-04,38430
Brown,中山國中,#BB7744,2024-01-04,86351
Brown,動物園,#BB7744,2024-01-05,61176
Brown,木柵,#BB7744,2024-01-05,10829
Brown,萬芳社區,#BB7744,2024-01-05,70807
Brown,萬芳醫院,#BB7744,2024-01-05,4987
Brown,辛亥,#BB7744,2024-01-05,26719
Brown,麟光,#BB7744,2024-01-05,7148
Brown,六張犁,#BB7744,2024-01-05,88230
Brown,科技大樓,#BB7744,2024-01-05,78220
Brown,大安,#BB7744,2024-01-05,2189
Brown,忠孝復興,#BB7744,2024-01-05,59107
Brown,南京復興,#BB7744,2024-01-05,45487
Brown,中山國中,#BB7744,2024-01-05,47141
Brown,動物園,#BB7744,2024-01-06,21935
Brown,木柵,#BB7744,2024-01-06,7771
Brown,萬芳社區,#BB7744,2024-01-06,16344
Brown,萬芳醫院,#BB7744,2024-01-06,52169
Brown,辛亥,#BB7744,2024-01-06,35081
Brown,麟光,#BB7744,2024-01-06,38708
Brown,六張犁,#BB7744,2024-01-06,30002
Brown,科技大樓,#BB7744,2024-01-06,49172
Brown,大安,#BB7744,2024-01-06,26273
Brown,忠孝復興,#BB7744,2024-01-06,36210
Brown,南京復興,#BB7744,2024-01-06,39943
Brown,中山國中,#BB7744,2024-01-06,3244
Brown,動物園,#BB7744,2024-01-07,64753
Brown,木柵,#BB7744,2024-01-07,59596
Brown,萬芳社區,#BB7744,2024-01-07,34212
Brown,萬芳醫院,#BB7744,2024-01-07,3854
Brown,辛亥,#BB7744,2024-01-07,71630
Brown,麟光,#BB7744,2024-01-07,21797
Brown,六張犁,#BB7744,2024-01-07,56620
Brown,科技大樓,#BB7744,2024-01-07,29006
