line,station,date,people
Green,小碧潭,2022-01-01,7879.0
Green,新店,2022-01-01,37423.0
Green,新店區公所,2022-01-01,17486.0
Green,七張,2022-01-01,21249.0
Green,大坪林,2022-01-01,17948.0
Green,景美,2022-01-01,23342.0
Green,萬隆,2022-01-01,13888.0
Green,公館,2022-01-01,37338.0
Green,台電大樓,2022-01-01,19088.0
Green,古亭,2022-01-01,15970.5
Green,中正紀念堂,2022-01-01,11506.0
Green,小南門,2022-01-01,5639.0
Green,中山,2022-01-01,31889.5
Green,西門,2022-01-01,48701.5
Green,北門,2022-01-01,18570.0
Green,松江南京,2022-01-01,13051.5
Green,台北小巨蛋,2022-01-01,23832.0
Green,南京三民,2022-01-01,19841.0
Green,松山,2022-01-01,28543.0
Green,南京復興,2022-01-01,15430.5
Green,小碧潭,2022-01-02,6274.0
Green,新店,2022-01-02,25060.0
Green,新店區公所,2022-01-02,15088.0
Green,七張,2022-01-02,18862.0
Green,大坪林,2022-01-02,16048.5
Green,景美,2022-01-02,21761.0
Green,萬隆,2022-01-02,12951.0
Green,公館,2022-01-02,33020.0
Green,台電大樓,2022-01-02,18770.0
Green,古亭,2022-01-02,15077.0
Green,中正紀念堂,2022-01-02,9340.5
Green,小南門,2022-01-02,5157.0
Green,中山,2022-01-02,26027.0
Green,西門,2022-01-02,35022.0
Green,北門,2022-01-02,14019.0
Green,松江南京,2022-01-02,10737.5
Green,台北小巨蛋,2022-01-02,17772.0
Green,南京三民,2022-01-02,18414.0
Green,松山,2022-01-02,22414.0
Green,南京復興,2022-01-02,12963.5
Green,小碧潭,2022-01-03,5817.0
Green,新店,2022-01-03,22954.0
Green,新店區公所,2022-01-03,23459.0
Green,七張,2022-01-03,29176.0
Green,大坪林,2022-01-03,28130.0
Green,景美,2022-01-03,30878.0
Green,萬隆,2022-01-03,17673.0
Green,公館,2022-01-03,43571.0
Green,台電大樓,2022-01-03,27540.0
Green,古亭,2022-01-03,26744.5
Green,中正紀念堂,2022-01-03,17650.5
Green,小南門,2022-01-03,17863.0
Green,中山,2022-01-03,28456.5
Green,西門,2022-01-03,37278.0
Green,北門,2022-01-03,19980.0
Green,松江南京,2022-01-03,29576.5
Green,台北小巨蛋,2022-01-03,39825.0
Green,南京三民,2022-01-03,44032.0
Green,松山,2022-01-03,42872.0
Green,南京復興,2022-01-03,35025.5
Green,小碧潭,2022-01-04,5925.0
Green,新店,2022-01-04,23230.0
Green,新店區公所,2022-01-04,24047.0
Green,七張,2022-01-04,29155.0
Green,大坪林,2022-01-04,29017.0
Green,景美,2022-01-04,31939.0
Green,萬隆,2022-01-04,18377.0
Green,公館,2022-01-04,43813.0
Green,台電大樓,2022-01-04,28743.0
Green,古亭,2022-01-04,28497.5
Green,中正紀念堂,2022-01-04,18829.5
Green,小南門,2022-01-04,18344.0
Green,中山,2022-01-04,29519.0
Green,西門,2022-01-04,38206.5
Green,北門,2022-01-04,20336.0
Green,松江南京,2022-01-04,31012.0
Green,台北小巨蛋,2022-01-04,41453.0
Green,南京三民,2022-01-04,45428.0
Green,松山,2022-01-04,42849.0
Green,南京復興,2022-01-04,37108.5
Green,小碧潭,2022-01-05,5935.0
Green,新店,2022-01-05,23853.0
Green,新店區公所,2022-01-05,24583.0
Green,七張,2022-01-05,29904.0
Green,大坪林,2022-01-05,29457.5
Green,景美,2022-01-05,32507.0
Green,萬隆,2022-01-05,18682.0
Green,公館,2022-01-05,45252.0
Green,台電大樓,2022-01-05,29465.0
Green,古亭,2022-01-05,29053.5
Green,中正紀念堂,2022-01-05,20052.0
Green,小南門,2022-01-05,18583.0
Green,中山,2022-01-05,31765.5
Green,西門,2022-01-05,40078.5
Green,北門,2022-01-05,20948.0
Green,松江南京,2022-01-05,31916.0
Green,台北小巨蛋,2022-01-05,42506.0
Green,南京三民,2022-01-05,45424.0
Green,松山,2022-01-05,43661.0
Green,南京復興,2022-01-05,37752.0
Green,小碧潭,2022-01-06,6370.0
Green,新店,2022-01-06,22631.0
Green,新店區公所,2022-01-06,24857.0
Green,七張,2022-01-06,29850.0
Green,大坪林,2022-01-06,29636.5
Green,景美,2022-01-06,32385.0
Green,萬隆,2022-01-06,18982.0
Green,公館,2022-01-06,46151.0
Green,台電大樓,2022-01-06,30475.0
