line,station,color,date,population
Green,新店,#008859,2024-01-01,1146
Green,新店區公所,#008859,2024-01-01,41915
Green,七張,#008859,2024-01-01,20328
Green,小碧潭,#008859,2024-01-01,4473
Green,大坪林,#008859,2024-01-01,36958
Green,景美,#008859,2024-01-01,67105
Green,萬隆,#008859,2024-01-01,8347
Green,公館,#008859,2024-01-01,27413
Green,台電大樓,#008859,2024-01-01,37246
Green,古亭,#008859,2024-01-01,36351
Green,中正紀念堂,#008859,2024-01-01,12314
Green,小南門,#008859,2024-01-01,4807
Green,西門,#008859,2024-01-01,5735
Green,北門,#008859,2024-01-01,83008
Green,中山,#008859,2024-01-01,79849
Green,新店,#008859,2024-01-02,49346
Green,新店區公所,#008859,2024-01-02,74225
Green,七張,#008859,2024-01-02,76574
Green,小碧潭,#008859,2024-01-02,40810
Green,大坪林,#008859,2024-01-02,49775
Green,景美,#008859,2024-01-02,28301
Green,萬隆,#008859,2024-01-02,4087
Green,公館,#008859,2024-01-02,75639
Green,台電大樓,#008859,2024-01-02,58531
Green,古亭,#008859,2024-01-02,28782
Green,中正紀念堂,#008859,2024-01-02,80778
Green,小南門,#008859,2024-01-02,60597
Green,西門,#008859,2024-01-02,31185
Green,北門,#008859,2024-01-02,14687
Green,中山,#008859,2024-01-02,3482
Green,新店,#008859,2024-01-03,37629
Green,新店區公所,#008859,2024-01-03,51508
Green,七張,#008859,2024-01-03,87640
Green,小碧潭,#008859,2024-01-03,34297
Green,大坪林,#008859,2024-01-03,19821
Green,景美,#008859,2024-01-03,20723
Green,萬隆,#008859,2024-01-03,64246
Green,公館,#008859,2024-01-03,39240
Green,台電大樓,#008859,2024-01-03,65303
Green,古亭,#008859,2024-01-03,8158
Green,中正紀念堂,#008859,2024-01-03,4626
Green,小南門,#008859,2024-01-03,31136
Green,西門,#008859,2024-01-03,1421
Green,北門,#008859,2024-01-03,23126
Green,中山,#008859,2024-01-03,25641
Green,新店,#008859,2024-01-04,77321
Green,新店區公所,#008859,2024-01-04,4183
Green,七張,#008859,2024-01-04,56711
Green,小碧潭,#008859,2024-01-04,62760
Green,大坪林,#008859,2024-01-04,10554
Green,景美,#008859,2024-01-04,14823
Green,萬隆,#008859,2024-01-04,46845
Green,公館,#008859,2024-01-04,81675
Green,台電大樓,#008859,2024-01-04,74927
Green,古亭,#008859,2024-01-04,83496
Green,中正紀念堂,#008859,2024-01-04,83910
Green,小南門,#008859,2024-01-04,32370
Green,西門,#008859,2024-01-04,23473
Green,北門,#008859,2024-01-04,69663
Green,中山,#008859,2024-01-04,27179
Green,新店,#008859,2024-01-05,33425
Green,新店區公所,#008859,2024-01-05,51941
Green,七張,#008859,2024-01-05,17204
Green,小碧潭,#008859,2024-01-05,17942
Green,大坪林,#008859,2024-01-05,81328
Green,景美,#008859,2024-01-05,3525
Green,萬隆,#008859,2024-01-05,35334
Green,公館,#008859,2024-01-05,15566
Green,台電大樓,#008859,2024-01-05,11633
Green,古亭,#008859,2024-01-05,38755
Green,中正紀念堂,#008859,2024-01-05,10869
Green,小南門,#008859,2024-01-05,56840
Green,西門,#008859,2024-01-05,12647
Green,北門,#008859,2024-01-05,17417
Green,中山,#008859,2024-01-05,8880
Green,新店,#008859,2024-01-06,11603
Green,新店區公所,#008859,2024-01-06,20235
Green,七張,#008859,2024-01-06,47576
Green,小碧潭,#008859,2024-01-06,85076
Green,大坪林,#008859,2024-01-06,4601
Green,景美,#008859,2024-01-06,38753
Green,萬隆,#008859,2024-01-06,74692
Green,公館,#008859,2024-01-06,19859
Green,台電大樓,#008859,2024-01-06,60558
Green,古亭,#008859,2024-01-06,13380
Green,中正紀念堂,#008859,2024-01-06,35126
Green,小南門,#008859,2024-01-06,80444
Green,西門,#008859,2024-01-06,80239
Green,北門,#008859,2024-01-06,41637
Green,中山,#008859,2024-01-06,41639
Green,新店,#008859,2024-01-07,56895
Green,新店區公所,#008859,2024-01-07,84161
Green,七張,#008859,2024-01-07,88974
Green,小碧潭,#008859,2024-01-07,46846
Green,大坪林,#008859,2024-01-07,38727
Green,景美,#008859,2024-01-07,14694
Green,萬隆,#008859,2024-01-07,69867
Green,公館,#008859,2024-01-07,47468
Green,台電大樓,#008859,2024-01-07,68012
Green,古亭,#008859,2024-01-07,28464
Green,中正紀念堂,#008859,2024-01-07,71994
Green,小南門,#008859,2024-01-07,51838
Green,西門,#008859,2024-01-07,47778
Green,北門,#008859,2024-01-07,37264
Green,中山,#008859,2024-01-07,32029
Green,新店,#008859,2024-01-08,62598
Green,新店區公所,#008859,2024-01-08,72487
Green,七張,#008859,2024-01-08,56777
Green,小碧潭,#008859,2024-01-08,85541
Green,大坪林,#008859,2024-01-08,48856
Green,景美,#008859,2024-01-08,48656
Green,萬隆,#008859,2024-01-08,44515
Green,公館,#008859,2024-01-08,89189
Green,台電大樓,#008859,2024-01-08,9593
Green,古亭,#008859,2024-01-08,19487
Green,中正紀念堂,#008859,2024-01-08,45573
Green,小南門,#008859,2024-01-08,73858
Green,西門,#008859,2024-01-08,20596
Green,北門,#008859,2024-01-08,57147
Green,中山,#008859,2024-01-08,15581
Green,新店,#008859,2024-01-09,17231
Green,新店區公所,#008859,2024-01-09,3096
Green,七張,#008859,2024-01-09,42161
Green,小碧潭,#008859,2024-01-09,19538
Green,大坪林,#008859,2024-01-09,34152
Green,景美,#008859,2024-01-09,59159
Green,萬隆,#008859,2024-01-09,58698
Green,公館,#008859,2024-01-09,51003
Green,台電大樓,#008859,2024-01-09,70393
Green,古亭,#008859,2024-01-09,68771
Green,中正紀念堂,#008859,2024-01-09,65272
Green,小南門,#008859,2024-01-09,53529
