line,station,date,people
Orange,古亭,2018-01-01,17468.0
Orange,頂溪,2018-01-01,56264.0
Orange,永安市場,2018-01-01,38174.0
Orange,景安,2018-01-01,34157.0
Orange,南勢角,2018-01-01,32673.0
Orange,民權西路,2018-01-01,10096.0
Orange,忠孝新生,2018-01-01,17031.0
Orange,松江南京,2018-01-01,16594.0
Orange,輔大,2018-01-01,13036.0
Orange,新莊,2018-01-01,14021.0
Orange,頭前庄,2018-01-01,5027.5
Orange,先嗇宮,2018-01-01,4147.0
Orange,三重,2018-01-01,9952.0
Orange,菜寮,2018-01-01,12549.0
Orange,台北橋,2018-01-01,15963.0
Orange,大橋頭站,2018-01-01,19729.0
Orange,中山國小,2018-01-01,23633.0
Orange,行天宮,2018-01-01,40127.0
Orange,東門,2018-01-01,16669.0
Orange,蘆洲,2018-01-01,17681.0
Orange,三民高中,2018-01-01,17760.0
Orange,徐匯中學,2018-01-01,17325.0
Orange,三和國中,2018-01-01,16747.0
Orange,三重國小,2018-01-01,18523.0
Orange,迴龍,2018-01-01,12872.0
Orange,丹鳳,2018-01-01,13110.0
Orange,古亭,2018-01-02,32951.0
Orange,頂溪,2018-01-02,73425.0
Orange,永安市場,2018-01-02,53411.0
Orange,景安,2018-01-02,50221.0
Orange,南勢角,2018-01-02,43303.0
Orange,民權西路,2018-01-02,19956.0
Orange,忠孝新生,2018-01-02,26202.0
Orange,松江南京,2018-01-02,42415.0
Orange,輔大,2018-01-02,26826.0
Orange,新莊,2018-01-02,21928.0
Orange,頭前庄,2018-01-02,6879.5
Orange,先嗇宮,2018-01-02,9821.0
Orange,三重,2018-01-02,11883.0
Orange,菜寮,2018-01-02,19891.0
Orange,台北橋,2018-01-02,18014.0
Orange,大橋頭站,2018-01-02,26046.0
Orange,中山國小,2018-01-02,36117.0
Orange,行天宮,2018-01-02,57311.0
Orange,東門,2018-01-02,24360.5
Orange,蘆洲,2018-01-02,25929.0
Orange,三民高中,2018-01-02,25342.0
Orange,徐匯中學,2018-01-02,24255.0
Orange,三和國中,2018-01-02,24501.0
Orange,三重國小,2018-01-02,24244.0
Orange,迴龍,2018-01-02,20105.0
Orange,丹鳳,2018-01-02,17626.0
Orange,古亭,2018-01-03,34161.0
Orange,頂溪,2018-01-03,74231.0
Orange,永安市場,2018-01-03,55620.0
Orange,景安,2018-01-03,51841.0
Orange,南勢角,2018-01-03,43877.0
Orange,民權西路,2018-01-03,20338.5
Orange,忠孝新生,2018-01-03,27131.5
Orange,松江南京,2018-01-03,43958.0
Orange,輔大,2018-01-03,26439.0
Orange,新莊,2018-01-03,22756.0
Orange,頭前庄,2018-01-03,7165.0
Orange,先嗇宮,2018-01-03,9751.0
Orange,三重,2018-01-03,11874.0
Orange,菜寮,2018-01-03,20469.0
Orange,台北橋,2018-01-03,18603.0
Orange,大橋頭站,2018-01-03,25842.0
Orange,中山國小,2018-01-03,37037.0
Orange,行天宮,2018-01-03,59343.0
Orange,東門,2018-01-03,24509.5
Orange,蘆洲,2018-01-03,26913.0
Orange,三民高中,2018-01-03,25710.0
Orange,徐匯中學,2018-01-03,24570.0
Orange,三和國中,2018-01-03,24950.0
Orange,三重國小,2018-01-03,24468.0
Orange,迴龍,2018-01-03,20194.0
Orange,丹鳳,2018-01-03,18057.0
Orange,古亭,2018-01-04,34120.5
Orange,頂溪,2018-01-04,74773.0
Orange,永安市場,2018-01-04,54947.0
Orange,景安,2018-01-04,52007.0
Orange,南勢角,2018-01-04,43942.0
Orange,民權西路,2018-01-04,20329.5
Orange,忠孝新生,2018-01-04,27246.5
Orange,松江南京,2018-01-04,44996.0
Orange,輔大,2018-01-04,26626.0
Orange,新莊,2018-01-04,22495.0
Orange,頭前庄,2018-01-04,7303.0
Orange,先嗇宮,2018-01-04,9965.0
Orange,三重,2018-01-04,12045.0
Orange,菜寮,2018-01-04,20549.0
