line,station,color,date,population
Orange,南勢角,#FFAA33,2024-01-01,66400
Orange,景安,#FFAA33,2024-01-01,14742
Orange,永安市場,#FFAA33,2024-01-01,4259
Orange,頂溪,#FFAA33,2024-01-01,22349
Orange,古亭,#FFAA33,2024-01-01,22871
Orange,東門,#FFAA33,2024-01-01,65524
Orange,忠孝新生,#FFAA33,2024-01-01,74032
Orange,松江南京,#FFAA33,2024-01-01,71621
Orange,行天宮,#FFAA33,2024-01-01,51337
Orange,中山國小,#FFAA33,2024-01-01,30695
Orange,南勢角,#FFAA33,2024-01-02,63847
Orange,景安,#FFAA33,2024-01-02,21046
Orange,永安市場,#FFAA33,2024-01-02,1564
Orange,頂溪,#FFAA33,2024-01-02,59235
Orange,古亭,#FFAA33,2024-01-02,66329
Orange,東門,#FFAA33,2024-01-02,70367
Orange,忠孝新生,#FFAA33,2024-01-02,39683
Orange,松江南京,#FFAA33,2024-01-02,9970
Orange,行天宮,#FFAA33,2024-01-02,64347
Orange,中山國小,#FFAA33,2024-01-02,85673
Orange,南勢角,#FFAA33,2024-01-03,84841
Orange,景安,#FFAA33,2024-01-03,11532
Orange,永安市場,#FFAA33,2024-01-03,5323
Orange,頂溪,#FFAA33,2024-01-03,1104
Orange,古亭,#FFAA33,2024-01-03,27463
Orange,東門,#FFAA33,2024-01-03,67059
Orange,忠孝新生,#FFAA33,2024-01-03,79104
Orange,松江南京,#FFAA33,2024-01-03,23926
Orange,行天宮,#FFAA33,2024-01-03,12662
Orange,中山國小,#FFAA33,2024-01-03,67354
Orange,南勢角,#FFAA33,2024-01-04,68396
Orange,景安,#FFAA33,2024-01-04,62628
Orange,永安市場,#FFAA33,2024-01-04,8986
Orange,頂溪,#FFAA33,2024-01-04,33392
Orange,古亭,#FFAA33,2024-01-04,42124
Orange,東門,#FFAA33,2024-01-04,3789
Orange,忠孝新生,#FFAA33,2024-01-04,4423
Orange,松江南京,#FFAA33,2024-01-04,3403
Orange,行天宮,#FFAA33,2024-01-04,13615
Orange,中山國小,#FFAA33,2024-01-04,52221
Orange,南勢角,#FFAA33,2024-01-05,35295
Orange,景安,#FFAA33,2024-01-05,38519
Orange,永安市場,#FFAA33,2024-01-05,60700
Orange,頂溪,#FFAA33,2024-01-05,19608
Orange,古亭,#FFAA33,2024-01-05,80867
Orange,東門,#FFAA33,2024-01-05,44096
Orange,忠孝新生,#FFAA33,2024-01-05,67679
Orange,松江南京,#FFAA33,2024-01-05,19646
Orange,行天宮,#FFAA33,2024-01-05,50690
Orange,中山國小,#FFAA33,2024-01-05,15885
Orange,南勢角,#FFAA33,2024-01-06,40171
Orange,景安,#FFAA33,2024-01-06,2975
Orange,永安市場,#FFAA33,2024-01-06,45586
Orange,頂溪,#FFAA33,2024-01-06,11268
Orange,古亭,#FFAA33,2024-01-06,70342
Orange,東門,#FFAA33,2024-01-06,42609
Orange,忠孝新生,#FFAA33,2024-01-06,74623
Orange,松江南京,#FFAA33,2024-01-06,56869
Orange,行天宮,#FFAA33,2024-01-06,80628
Orange,中山國小,#FFAA33,2024-01-06,42911
Orange,南勢角,#FFAA33,2024-01-07,18090
Orange,景安,#FFAA33,2024-01-07,13311
Orange,永安市場,#FFAA33,2024-01-07,54839
Orange,頂溪,#FFAA33,2024-01-07,73291
Orange,古亭,#FFAA33,2024-01-07,43171
