line,station,date,people
Red,中正紀念堂,2017-01-01,48612.0
Red,台大醫院,2017-01-01,26473.0
Red,台北車站,2017-01-01,191671.0
Red,中山,2017-01-01,44239.5
Red,雙連,2017-01-01,34032.0
Red,民權西路,2017-01-01,24993.0
Red,圓山,2017-01-01,79344.0
Red,劍潭,2017-01-01,94012.0
Red,士林,2017-01-01,59409.0
Red,芝山,2017-01-01,38526.0
Red,明德,2017-01-01,15583.0
Red,石牌,2017-01-01,43561.0
Red,唭哩岸,2017-01-01,11331.0
Red,奇岩,2017-01-01,12738.0
Red,北投,2017-01-01,30652.0
Red,新北投,2017-01-01,24567.0
Red,復興崗,2017-01-01,5915.0
Red,忠義,2017-01-01,4024.0
Red,關渡,2017-01-01,18405.0
Red,竹圍,2017-01-01,17042.0
Red,紅樹林,2017-01-01,13343.0
Red,淡水,2017-01-01,150289.0
Red,象山,2017-01-01,26524.0
Red,台北101/世貿,2017-01-01,68522.0
Red,信義安和,2017-01-01,24224.0
Red,大安森林公園,2017-01-01,21788.0
Red,東門,2017-01-01,29423.5
Red,大安,2017-01-01,14470.0
Red,中正紀念堂,2017-01-02,24314.5
Red,台大醫院,2017-01-02,20394.0
Red,台北車站,2017-01-02,168027.5
Red,中山,2017-01-02,39273.5
Red,雙連,2017-01-02,30626.0
Red,民權西路,2017-01-02,21082.0
Red,圓山,2017-01-02,50936.0
Red,劍潭,2017-01-02,67858.0
Red,士林,2017-01-02,47957.0
Red,芝山,2017-01-02,34670.0
Red,明德,2017-01-02,16980.0
Red,石牌,2017-01-02,43703.0
Red,唭哩岸,2017-01-02,10223.0
Red,奇岩,2017-01-02,11369.0
Red,北投,2017-01-02,27493.0
Red,新北投,2017-01-02,17036.0
Red,復興崗,2017-01-02,5170.0
Red,忠義,2017-01-02,4590.0
Red,關渡,2017-01-02,17364.0
Red,竹圍,2017-01-02,14992.0
Red,紅樹林,2017-01-02,9937.0
Red,淡水,2017-01-02,102477.0
Red,象山,2017-01-02,19849.0
Red,台北101/世貿,2017-01-02,48350.0
Red,信義安和,2017-01-02,22045.0
Red,大安森林公園,2017-01-02,15671.0
Red,東門,2017-01-02,23975.0
Red,大安,2017-01-02,13563.0
Red,中正紀念堂,2017-01-03,34077.0
Red,台大醫院,2017-01-03,51731.0
Red,台北車站,2017-01-03,143592.5
Red,中山,2017-01-03,40530.5
Red,雙連,2017-01-03,44841.0
Red,民權西路,2017-01-03,29538.5
Red,圓山,2017-01-03,53735.0
Red,劍潭,2017-01-03,69596.0
Red,士林,2017-01-03,58589.0
Red,芝山,2017-01-03,45932.0
Red,明德,2017-01-03,26292.0
Red,石牌,2017-01-03,63107.0
