line,station,color,date,population
Red,象山,#E3002B,2024-01-01,43617
Red,台北101/世貿,#E3002B,2024-01-01,62841
Red,信義安和,#E3002B,2024-01-01,88766
Red,大安,#E3002B,2024-01-01,86383
Red,大安森林公園,#E3002B,2024-01-01,29658
Red,東門,#E3002B,2024-01-01,17049
Red,中正紀念堂,#E3002B,2024-01-01,7082
Red,台大醫院,#E3002B,2024-01-01,48749
Red,台北車站,#E3002B,2024-01-01,2357
Red,中山,#E3002B,2024-01-01,14876
Red,雙連,#E3002B,2024-01-01,32215
Red,象山,#E3002B,2024-01-02,65097
Red,台北101/世貿,#E3002B,2024-01-02,43359
Red,信義安和,#E3002B,2024-01-02,40872
Red,大安,#E3002B,2024-01-02,16789
Red,大安森林公園,#E3002B,2024-01-02,61619
Red,東門,#E3002B,2024-01-02,35007
Red,中正紀念堂,#E3002B,2024-01-02,31903
Red,台大醫院,#E3002B,2024-01-02,19021
Red,台北車站,#E3002B,2024-01-02,24236
Red,中山,#E3002B,2024-01-02,62134
Red,雙連,#E3002B,2024-01-02,57056
Red,象山,#E3002B,2024-01-03,75912
Red,台北101/世貿,#E3002B,2024-01-03,4768
Red,信義安和,#E3002B,2024-01-03,84943
Red,大安,#E3002B,2024-01-03,85741
Red,大安森林公園,#E3002B,2024-01-03,48504
Red,東門,#E3002B,2024-01-03,31084
Red,中正紀念堂,#E3002B,2024-01-03,58744
Red,台大醫院,#E3002B,2024-01-03,41416
Red,台北車站,#E3002B,2024-01-03,61275
Red,中山,#E3002B,2024-01-03,37644
Red,雙連,#E3002B,2024-01-03,4864
Red,象山,#E3002B,2024-01-04,18805
Red,台北101/世貿,#E3002B,2024-01-04,51336
Red,信義安和,#E3002B,2024-01-04,31461
Red,大安,#E3002B,2024-01-04,67240
Red,大安森林公園,#E3002B,2024-01-04,15575
Red,東門,#E3002B,2024-01-04,5764
Red,中正紀念堂,#E3002B,2024-01-04,11065
Red,台大醫院,#E3002B,2024-01-04,19207
Red,台北車站,#E3002B,2024-01-04,63998
Red,中山,#E3002B,2024-01-04,42956
Red,雙連,#E3002B,2024-01-04,38638
Red,象山,#E3002B,2024-01-05,72351
Red,台北101/世貿,#E3002B,2024-01-05,65758
Red,信義安和,#E3002B,2024-01-05,57798
Red,大安,#E3002B,2024-01-05,60191
Red,大安森林公園,#E3002B,2024-01-05,23505
Red,東門,#E3002B,2024-01-05,23448
Red,中正紀念堂,#E3002B,2024-01-05,89806
Red,台大醫院,#E3002B,2024-01-05,47290
Red,台北車站,#E3002B,2024-01-05,88028
Red,中山,#E3002B,2024-01-05,73750
Red,雙連,#E3002B,2024-01-05,10567
Red,象山,#E3002B,2024-01-06,50369
Red,台北101/世貿,#E3002B,2024-01-06,80148
Red,信義安和,#E3002B,2024-01-06,72389
Red,大安,#E3002B,2024-01-06,72844
Red,大安森林公園,#E3002B,2024-01-06,70355
Red,東門,#E3002B,2024-01-06,19812
Red,中正紀念堂,#E3002B,2024-01-06,54947
Red,台大醫院,#E3002B,2024-01-06,55476
Red,台北車站,#E3002B,2024-01-06,24772
Red,中山,#E3002B,2024-01-06,2852
Red,雙連,#E3002B,2024-01-06,23503
Red,象山,#E3002B,2024-01-07,85919
Red,台北101/世貿,#E3002B,2024-01-07,2896
Red,信義安和,#E3002B,2024-01-07,67943
Red,大安,#E3002B,2024-01-07,79634
Red,大安森林公園,#E3002B,2024-01-07,24091
Red,東門,#E3002B,2024-01-07,70987
Red,中正紀念堂,#E3002B,2024-01-07,85115
Red,台大醫院,#E3002B,2024-01-07,2851
Red,台北車站,#E3002B,2024-01-07,33706
Red,中山,#E3002B,2024-01-07,85353
Red,雙連,#E3002B,2024-01-07,82078
Red,象山,#E3002B,2024-01-08,38343
Red,台北101/世貿,#E3002B,2024-01-08,31149
Red,信義安和,#E3002B,2024-01-08,13063
Red,大安,#E3002B,2024-01-08,80434
Red,大安森林公園,#E3002B,2024-01-08,87185
Red,東門,#E3002B,2024-01-08,84286
