line,station,date,people
Yellow,大坪林,2017-01-01,7406.0
Yellow,頭前庄,2017-01-01,2178.0
Yellow,大坪林,2017-01-02,7639.0
Yellow,頭前庄,2017-01-02,1855.5
Yellow,大坪林,2017-01-03,12815.0
Yellow,頭前庄,2017-01-03,2143.0
Yellow,大坪林,2017-01-04,12680.5
Yellow,頭前庄,2017-01-04,2332.0
Yellow,大坪林,2017-01-05,13034.0
Yellow,頭前庄,2017-01-05,2214.0
Yellow,大坪林,2017-01-06,14571.0
Yellow,頭前庄,2017-01-06,2436.5
Yellow,大坪林,2017-01-07,10056.0
Yellow,頭前庄,2017-01-07,2831.0
Yellow,大坪林,2017-01-08,7975.5
Yellow,頭前庄,2017-01-08,2036.0
Yellow,大坪林,2017-01-09,12637.5
Yellow,頭前庄,2017-01-09,2144.0
Yellow,大坪林,2017-01-10,12730.0
Yellow,頭前庄,2017-01-10,2227.5
Yellow,大坪林,2017-01-11,13092.0
Yellow,頭前庄,2017-01-11,2476.5
Yellow,大坪林,2017-01-12,13002.5
Yellow,頭前庄,2017-01-12,2399.0
Yellow,大坪林,2017-01-13,14172.0
Yellow,頭前庄,2017-01-13,2602.0
Yellow,大坪林,2017-01-14,9324.0
Yellow,頭前庄,2017-01-14,2460.5
Yellow,大坪林,2017-01-15,8523.0
Yellow,頭前庄,2017-01-15,2543.5
Yellow,大坪林,2017-01-16,12480.5
Yellow,頭前庄,2017-01-16,2275.5
Yellow,大坪林,2017-01-17,13124.5
Yellow,頭前庄,2017-01-17,2602.0
Yellow,大坪林,2017-01-18,13542.5
Yellow,頭前庄,2017-01-18,2402.5
Yellow,大坪林,2017-01-19,13967.0
Yellow,頭前庄,2017-01-19,2493.5
Yellow,大坪林,2017-01-20,13675.0
Yellow,頭前庄,2017-01-20,2866.5
Yellow,大坪林,2017-01-21,9926.5
Yellow,頭前庄,2017-01-21,2390.0
Yellow,大坪林,2017-01-22,8259.5
Yellow,頭前庄,2017-01-22,2057.5
Yellow,大坪林,2017-01-23,12461.0
Yellow,頭前庄,2017-01-23,2475.0
Yellow,大坪林,2017-01-24,12816.5
Yellow,頭前庄,2017-01-24,2532.5
Yellow,大坪林,2017-01-25,12520.0
Yellow,頭前庄,2017-01-25,2502.0
Yellow,大坪林,2017-01-26,10246.5
Yellow,頭前庄,2017-01-26,2011.0
Yellow,大坪林,2017-01-27,4263.5
Yellow,頭前庄,2017-01-27,836.0
Yellow,大坪林,2017-01-28,5682.5
Yellow,頭前庄,2017-01-28,1585.5
Yellow,大坪林,2017-01-29,6008.0
Yellow,頭前庄,2017-01-29,1561.0
Yellow,大坪林,2017-01-30,5803.5
Yellow,頭前庄,2017-01-30,1752.5
Yellow,大坪林,2017-01-31,7438.0
Yellow,頭前庄,2017-01-31,1880.5
Yellow,大坪林,2017-02-01,7095.0
Yellow,頭前庄,2017-02-01,1626.0
Yellow,大坪林,2017-02-02,10306.5
Yellow,頭前庄,2017-02-02,2096.5
Yellow,大坪林,2017-02-03,10973.0
Yellow,頭前庄,2017-02-03,2249.0
Yellow,大坪林,2017-02-04,8104.0
Yellow,頭前庄,2017-02-04,2139.0
Yellow,大坪林,2017-02-05,6837.0
Yellow,頭前庄,2017-02-05,1773.5
Yellow,大坪林,2017-02-06,12170.5
Yellow,頭前庄,2017-02-06,2273.5
Yellow,大坪林,2017-02-07,12503.0
Yellow,頭前庄,2017-02-07,2380.5
Yellow,大坪林,2017-02-08,13031.0
Yellow,頭前庄,2017-02-08,2425.0
Yellow,大坪林,2017-02-09,12458.5
Yellow,頭前庄,2017-02-09,2412.0
Yellow,大坪林,2017-02-10,12668.5
Yellow,頭前庄,2017-02-10,2511.0
Yellow,大坪林,2017-02-11,8563.5
Yellow,頭前庄,2017-02-11,2296.0
Yellow,大坪林,2017-02-12,8205.5
Yellow,頭前庄,2017-02-12,2195.5
Yellow,大坪林,2017-02-13,12574.5
Yellow,頭前庄,2017-02-13,2300.0
Yellow,大坪林,2017-02-14,12973.5
Yellow,頭前庄,2017-02-14,2356.5
Yellow,大坪林,2017-02-15,12691.5
Yellow,頭前庄,2017-02-15,2246.5
Yellow,大坪林,2017-02-16,12720.5
Yellow,頭前庄,2017-02-16,2334.0
Yellow,大坪林,2017-02-17,13348.5
Yellow,頭前庄,2017-02-17,2387.5
Yellow,大坪林,2017-02-18,12031.5
Yellow,頭前庄,2017-02-18,2548.5
Yellow,大坪林,2017-02-19,8476.5
Yellow,頭前庄,2017-02-19,2023.5
Yellow,大坪林,2017-02-20,12795.5
Yellow,頭前庄,2017-02-20,2262.5
Yellow,大坪林,2017-02-21,13065.0
Yellow,頭前庄,2017-02-21,2303.0
Yellow,大坪林,2017-02-22,13090.0
Yellow,頭前庄,2017-02-22,2282.0
Yellow,大坪林,2017-02-23,13255.0
Yellow,頭前庄,2017-02-23,2279.5
Yellow,大坪林,2017-02-24,14046.5
Yellow,頭前庄,2017-02-24,2337.0
Yellow,大坪林,2017-02-25,8641.5
Yellow,頭前庄,2017-02-25,2179.0
Yellow,大坪林,2017-02-26,7189.0
Yellow,頭前庄,2017-02-26,1949.5
Yellow,大坪林,2017-02-27,8082.0
Yellow,頭前庄,2017-02-27,2094.5
Yellow,大坪林,2017-02-28,7014.5
Yellow,頭前庄,2017-02-28,1576.5
Yellow,大坪林,2017-03-01,12771.0
Yellow,頭前庄,2017-03-01,2083.0
Yellow,大坪林,2017-03-02,12539.5
Yellow,頭前庄,2017-03-02,2061.5
Yellow,大坪林,2017-03-03,13469.5
Yellow,頭前庄,2017-03-03,2304.0
Yellow,大坪林,2017-03-04,9487.0
Yellow,頭前庄,2017-03-04,2122.0
Yellow,大坪林,2017-03-05,8370.0
Yellow,頭前庄,2017-03-05,2066.5
Yellow,大坪林,2017-03-06,12738.0
Yellow,頭前庄,2017-03-06,2068.0
Yellow,大坪林,2017-03-07,12928.0
Yellow,頭前庄,2017-03-07,2122.0
Yellow,大坪林,2017-03-08,13182.0
Yellow,頭前庄,2017-03-08,2134.5
Yellow,大坪林,2017-03-09,13096.5
Yellow,頭前庄,2017-03-09,2113.0
Yellow,大坪林,2017-03-10,14251.0
Yellow,頭前庄,2017-03-10,2298.0
Yellow,大坪林,2017-03-11,9495.0
Yellow,頭前庄,2017-03-11,2117.0
Yellow,大坪林,2017-03-12,8088.5
Yellow,頭前庄,2017-03-12,1837.5
Yellow,大坪林,2017-03-13,12778.0
Yellow,頭前庄,2017-03-13,2039.0
Yellow,大坪林,2017-03-14,12884.0
Yellow,頭前庄,2017-03-14,2138.5
Yellow,大坪林,2017-03-15,13136.5
Yellow,頭前庄,2017-03-15,2167.0
Yellow,大坪林,2017-03-16,13334.0
Yellow,頭前庄,2017-03-16,2147.5
Yellow,大坪林,2017-03-17,13994.0
Yellow,頭前庄,2017-03-17,2391.5
Yellow,大坪林,2017-03-18,10060.0
Yellow,頭前庄,2017-03-18,2033.0
Yellow,大坪林,2017-03-19,7429.5
Yellow,頭前庄,2017-03-19,1738.5
Yellow,大坪林,2017-03-20,12294.0
Yellow,頭前庄,2017-03-20,2068.5
Yellow,大坪林,2017-03-21,12787.5
Yellow,頭前庄,2017-03-21,2099.5
Yellow,大坪林,2017-03-22,12996.0
Yellow,頭前庄,2017-03-22,2215.0
Yellow,大坪林,2017-03-23,13001.0
Yellow,頭前庄,2017-03-23,2113.5
Yellow,大坪林,2017-03-24,13572.0
Yellow,頭前庄,2017-03-24,2300.5
Yellow,大坪林,2017-03-25,9694.5
Yellow,頭前庄,2017-03-25,1860.5
Yellow,大坪林,2017-03-26,8141.0
Yellow,頭前庄,2017-03-26,1751.0
Yellow,大坪林,2017-03-27,12328.0
Yellow,頭前庄,2017-03-27,2114.0
Yellow,大坪林,2017-03-28,12610.5
Yellow,頭前庄,2017-03-28,2087.0
Yellow,大坪林,2017-03-29,12992.0
Yellow,頭前庄,2017-03-29,2249.5
Yellow,大坪林,2017-03-30,13092.0
Yellow,頭前庄,2017-03-30,2084.5
Yellow,大坪林,2017-03-31,13661.0
Yellow,頭前庄,2017-03-31,2192.5
Yellow,大坪林,2017-04-01,8071.0
Yellow,頭前庄,2017-04-01,1860.5
Yellow,大坪林,2017-04-02,7054.5
Yellow,頭前庄,2017-04-02,2001.0
Yellow,大坪林,2017-04-03,7145.5
Yellow,頭前庄,2017-04-03,1835.0
Yellow,大坪林,2017-04-04,6579.5
Yellow,頭前庄,2017-04-04,1442.0
Yellow,大坪林,2017-04-05,12325.5
Yellow,頭前庄,2017-04-05,2062.5
Yellow,大坪林,2017-04-06,12857.5
Yellow,頭前庄,2017-04-06,2171.0
Yellow,大坪林,2017-04-07,13372.0
Yellow,頭前庄,2017-04-07,2286.0
Yellow,大坪林,2017-04-08,9119.0
Yellow,頭前庄,2017-04-08,2098.5
Yellow,大坪林,2017-04-09,8197.5
Yellow,頭前庄,2017-04-09,1879.0
Yellow,大坪林,2017-04-10,12303.0
Yellow,頭前庄,2017-04-10,2022.0
Yellow,大坪林,2017-04-11,12927.0
Yellow,頭前庄,2017-04-11,2095.5
Yellow,大坪林,2017-04-12,13102.5
Yellow,頭前庄,2017-04-12,2179.5
Yellow,大坪林,2017-04-13,12933.0
Yellow,頭前庄,2017-04-13,2125.0
Yellow,大坪林,2017-04-14,13682.5
Yellow,頭前庄,2017-04-14,2327.0
Yellow,大坪林,2017-04-15,9261.0
Yellow,頭前庄,2017-04-15,2127.0
Yellow,大坪林,2017-04-16,8046.5
Yellow,頭前庄,2017-04-16,2016.0
Yellow,大坪林,2017-04-17,12281.0
Yellow,頭前庄,2017-04-17,2076.0
Yellow,大坪林,2017-04-18,12477.0
Yellow,頭前庄,2017-04-18,2114.0
Yellow,大坪林,2017-04-19,13005.0
Yellow,頭前庄,2017-04-19,2236.0
Yellow,大坪林,2017-04-20,12712.0
Yellow,頭前庄,2017-04-20,2163.0
Yellow,大坪林,2017-04-21,13792.0
Yellow,頭前庄,2017-04-21,2213.5
Yellow,大坪林,2017-04-22,9383.0
Yellow,頭前庄,2017-04-22,2285.0
Yellow,大坪林,2017-04-23,7459.5
Yellow,頭前庄,2017-04-23,1749.0
Yellow,大坪林,2017-04-24,12253.0
Yellow,頭前庄,2017-04-24,2007.5
Yellow,大坪林,2017-04-25,12641.0
Yellow,頭前庄,2017-04-25,2114.5
Yellow,大坪林,2017-04-26,12682.0
Yellow,頭前庄,2017-04-26,2102.5
Yellow,大坪林,2017-04-27,12917.5
Yellow,頭前庄,2017-04-27,2082.0
Yellow,大坪林,2017-04-28,13528.5
Yellow,頭前庄,2017-04-28,2282.0
Yellow,大坪林,2017-04-29,9025.0
Yellow,頭前庄,2017-04-29,1931.0
Yellow,大坪林,2017-04-30,7562.5
Yellow,頭前庄,2017-04-30,1835.5
Yellow,大坪林,2017-05-01,9039.0
Yellow,頭前庄,2017-05-01,1625.5
Yellow,大坪林,2017-05-02,12210.0
Yellow,頭前庄,2017-05-02,1982.0
Yellow,大坪林,2017-05-03,12520.5
Yellow,頭前庄,2017-05-03,2101.5
Yellow,大坪林,2017-05-04,12483.5
Yellow,頭前庄,2017-05-04,2107.0
Yellow,大坪林,2017-05-05,13171.0
Yellow,頭前庄,2017-05-05,2254.5
Yellow,大坪林,2017-05-06,9515.0
Yellow,頭前庄,2017-05-06,1971.5
Yellow,大坪林,2017-05-07,8383.5
Yellow,頭前庄,2017-05-07,2264.5
Yellow,大坪林,2017-05-08,12422.0
Yellow,頭前庄,2017-05-08,2170.5
Yellow,大坪林,2017-05-09,12168.5
Yellow,頭前庄,2017-05-09,2139.5
Yellow,大坪林,2017-05-10,12538.5
Yellow,頭前庄,2017-05-10,2112.0
Yellow,大坪林,2017-05-11,12614.0
Yellow,頭前庄,2017-05-11,2085.0
Yellow,大坪林,2017-05-12,13641.0
Yellow,頭前庄,2017-05-12,2168.0
Yellow,大坪林,2017-05-13,10275.5
Yellow,頭前庄,2017-05-13,2061.0
Yellow,大坪林,2017-05-14,7084.5
Yellow,頭前庄,2017-05-14,1650.0
Yellow,大坪林,2017-05-15,11762.5
Yellow,頭前庄,2017-05-15,2007.5
Yellow,大坪林,2017-05-16,12773.5
Yellow,頭前庄,2017-05-16,2069.0
Yellow,大坪林,2017-05-17,12613.0
Yellow,頭前庄,2017-05-17,2111.0
Yellow,大坪林,2017-05-18,12724.5
Yellow,頭前庄,2017-05-18,2110.0
Yellow,大坪林,2017-05-19,13432.5
Yellow,頭前庄,2017-05-19,2321.5
Yellow,大坪林,2017-05-20,9984.5
Yellow,頭前庄,2017-05-20,2291.0
Yellow,大坪林,2017-05-21,8305.0
Yellow,頭前庄,2017-05-21,1879.0
Yellow,大坪林,2017-05-22,12218.5
Yellow,頭前庄,2017-05-22,2037.5
Yellow,大坪林,2017-05-23,12494.5
Yellow,頭前庄,2017-05-23,2078.5
Yellow,大坪林,2017-05-24,12594.0
Yellow,頭前庄,2017-05-24,2085.0
Yellow,大坪林,2017-05-25,12536.5
Yellow,頭前庄,2017-05-25,2186.5
Yellow,大坪林,2017-05-26,13295.5
Yellow,頭前庄,2017-05-26,2359.5
Yellow,大坪林,2017-05-27,8722.5
Yellow,頭前庄,2017-05-27,1786.5
Yellow,大坪林,2017-05-28,8024.0
