line,station,color,date,population
Yellow,大坪林,#FFD400,2024-01-01,64649
Yellow,十四張,#FFD400,2024-01-01,21083
Yellow,秀朗橋,#FFD400,2024-01-01,42758
Yellow,景平,#FFD400,2024-01-01,85437
Yellow,景安,#FFD400,2024-01-01,15102
Yellow,中和,#FFD400,2024-01-01,33296
Yellow,橋和,#FFD400,2024-01-01,48187
Yellow,中原,#FFD400,2024-01-01,64623
Yellow,板新,#FFD400,2024-01-01,79880
Yellow,板橋,#FFD400,2024-01-01,35048
Yellow,新埔民生,#FFD400,2024-01-01,78233
Yellow,頭前庄,#FFD400,2024-01-01,39237
Yellow,幸福,#FFD400,2024-01-01,25603
Yellow,新北產業園區,#FFD400,2024-01-01,6128
Yellow,大坪林,#FFD400,2024-01-02,68931
Yellow,十四張,#FFD400,2024-01-02,48180
Yellow,秀朗橋,#FFD400,2024-01-02,22799
Yellow,景平,#FFD400,2024-01-02,18287
Yellow,景安,#FFD400,2024-01-02,55052
Yellow,中和,#FFD400,2024-01-02,35398
Yellow,橋和,#FFD400,2024-01-02,32649
Yellow,中原,#FFD400,2024-01-02,4982
Yellow,板新,#FFD400,2024-01-02,25711
Yellow,板橋,#FFD400,2024-01-02,63021
Yellow,新埔民生,#FFD400,2024-01-02,53213
Yellow,頭前庄,#FFD400,2024-01-02,31415
Yellow,幸福,#FFD400,2024-01-02,88700
Yellow,新北產業園區,#FFD400,2024-01-02,36560
Yellow,大坪林,#FFD400,2024-01-03,67605
Yellow,十四張,#FFD400,2024-01-03,4586
Yellow,秀朗橋,#FFD400,2024-01-03,45066
Yellow,景平,#FFD400,2024-01-03,52974
Yellow,景安,#FFD400,2024-01-03,67782
Yellow,中和,#FFD400,2024-01-03,78059
Yellow,橋和,#FFD400,2024-01-03,83198
Yellow,中原,#FFD400,2024-01-03,68122
Yellow,板新,#FFD400,2024-01-03,11581
Yellow,板橋,#FFD400,2024-01-03,82334
Yellow,新埔民生,#FFD400,2024-01-03,85754
Yellow,頭前庄,#FFD400,2024-01-03,4158
Yellow,幸福,#FFD400,2024-01-03,5753
Yellow,新北產業園區,#FFD400,2024-01-03,48732
Yellow,大坪林,#FFD400,2024-01-04,53482
Yellow,十四張,#FFD400,2024-01-04,37359
Yellow,秀朗橋,#FFD400,2024-01-04,4395
Yellow,景平,#FFD400,2024-01-04,45922
Yellow,景安,#FFD400,2024-01-04,35678
Yellow,中和,#FFD400,2024-01-04,80967
Yellow,橋和,#FFD400,2024-01-04,19702
Yellow,中原,#FFD400,2024-01-04,29565
Yellow,板新,#FFD400,2024-01-04,24384
Yellow,板橋,#FFD400,2024-01-04,19162
Yellow,新埔民生,#FFD400,2024-01-04,26462
Yellow,頭前庄,#FFD400,2024-01-04,53447
Yellow,幸福,#FFD400,2024-01-04,11655
Yellow,新北產業園區,#FFD400,2024-01-04,47900
Yellow,大坪林,#FFD400,2024-01-05,23063
Yellow,十四張,#FFD400,2024-01-05,49827
Yellow,秀朗橋,#FFD400,2024-01-05,88179
Yellow,景平,#FFD400,2024-01-05,7795
Yellow,景安,#FFD400,2024-01-05,17531
Yellow,中和,#FFD400,2024-01-05,82289
Yellow,橋和,#FFD400,2024-01-05,15962
Yellow,中原,#FFD400,2024-01-05,50019
Yellow,板新,#FFD400,2024-01-05,82998
Yellow,板橋,#FFD400,2024-01-05,36868
Yellow,新埔民生,#FFD400,2024-01-05,66163
Yellow,頭前庄,#FFD400,2024-01-05,21910
Yellow,幸福,#FFD400,2024-01-05,30471
Yellow,新北產業園區,#FFD400,2024-01-05,25140
Yellow,大坪林,#FFD400,2024-01-06,74277
Yellow,十四張,#FFD400,2024-01-06,88022
Yellow,秀朗橋,#FFD400,2024-01-06,24254
Yellow,景平,#FFD400,2024-01-06,75738
Yellow,景安,#FFD400,2024-01-06,33566
Yellow,中和,#FFD400,2024-01-06,66208
Yellow,橋和,#FFD400,2024-01-06,34115
Yellow,中原,#FFD400,2024-01-06,17038
Yellow,板新,#FFD400,2024-01-06,46626
Yellow,板橋,#FFD400,2024-01-06,48482
Yellow,新埔民生,#FFD400,2024-01-06,19523
Yellow,頭前庄,#FFD400,2024-01-06,37252
Yellow,幸福,#FFD400,2024-01-06,70178
Yellow,新北產業園區,#FFD400,2024-01-06,44143
Yellow,大坪林,#FFD400,2024-01-07,79662
Yellow,十四張,#FFD400,2024-01-07,81248
Yellow,秀朗橋,#FFD400,2024-01-07,69813
Yellow,景平,#FFD400,2024-01-07,65774
Yellow,景安,#FFD400,2024-01-07,73966
Yellow,中和,#FFD400,2024-01-07,1930
Yellow,橋和,#FFD400,2024-01-07,74308
Yellow,中原,#FFD400,2024-01-07,62924
Yellow,板新,#FFD400,2024-01-07,26693
Yellow,板橋,#FFD400,2024-01-07,30863
Yellow,新埔民生,#FFD400,2024-01-07,88618
Yellow,頭前庄,#FFD400,2024-01-07,3412
Yellow,幸福,#FFD400,2024-01-07,74820
Yellow,新北產業園區,#FFD400,2024-01-07,79350
Yellow,大坪林,#FFD400,2024-01-08,42716
Yellow,十四張,#FFD400,2024-01-08,79932
Yellow,秀朗橋,#FFD400,2024-01-08,77597
Yellow,景平,#FFD400,2024-01-08,22116
Yellow,景安,#FFD400,2024-01-08,73723
Yellow,中和,#FFD400,2024-01-08,62240
Yellow,橋和,#FFD400,2024-01-08,75974
Yellow,中原,#FFD400,2024-01-08,7239
Yellow,板新,#FFD400,2024-01-08,18694
Yellow,板橋,#FFD400,2024-01-08,24082
Yellow,新埔民生,#FFD400,2024-01-08,34358
Yellow,頭前庄,#FFD400,2024-01-08,52338
Yellow,幸福,#FFD400,2024-01-08,88078
Yellow,新北產業園區,#FFD400,2024-01-08,19609
Yellow,大坪林,#FFD400,2024-01-09,51316
Yellow,十四張,#FFD400,2024-01-09,64396
Yellow,秀朗橋,#FFD400,2024-01-09,33241
Yellow,景平,#FFD400,2024-01-09,64807
Yellow,景安,#FFD400,2024-01-09,32614
Yellow,中和,#FFD400,2024-01-09,65720
Yellow,橋和,#FFD400,2024-01-09,61197
Yellow,中原,#FFD400,2024-01-09,65843
Yellow,板新,#FFD400,2024-01-09,47192
Yellow,板橋,#FFD400,2024-01-09,80553
Yellow,新埔民生,#FFD400,2024-01-09,51550
Yellow,頭前庄,#FFD400,2024-01-09,61640
Yellow,幸福,#FFD400,2024-01-09,35520
Yellow,新北產業園區,#FFD400,2024-01-09,44864
Yellow,大坪林,#FFD400,2024-01-10,52070
Yellow,十四張,#FFD400,2024-01-10,64717
Yellow,秀朗橋,#FFD400,2024-01-10,30481
Yellow,景平,#FFD400,2024-01-10,25024
Yellow,景安,#FFD400,2024-01-10,78437
Yellow,中和,#FFD400,2024-01-10,42786
Yellow,橋和,#FFD400,2024-01-10,46243
Yellow,中原,#FFD400,2024-01-10,65378
Yellow,板新,#FFD400,2024-01-10,16506
Yellow,板橋,#FFD400,2024-01-10,60121
Yellow,新埔民生,#FFD400,2024-01-10,80219
Yellow,頭前庄,#FFD400,2024-01-10,55005
Yellow,幸福,#FFD400,2024-01-10,28346
Yellow,新北產業園區,#FFD400,2024-01-10,54441
Yellow,大坪林,#FFD400,2024-01-11,32732
Yellow,十四張,#FFD400,2024-01-11,80858
Yellow,秀朗橋,#FFD400,2024-01-11,88043
Yellow,景平,#FFD400,2024-01-11,6701
Yellow,景安,#FFD400,2024-01-11,35687
Yellow,中和,#FFD400,2024-01-11,79333
Yellow,橋和,#FFD400,2024-01-11,18155
Yellow,中原,#FFD400,2024-01-11,35854
Yellow,板新,#FFD400,2024-01-11,10966
Yellow,板橋,#FFD400,2024-01-11,55078
Yellow,新埔民生,#FFD400,2024-01-11,58336
Yellow,頭前庄,#FFD400,2024-01-11,16581
Yellow,幸福,#FFD400,2024-01-11,66867
Yellow,新北產業園區,#FFD400,2024-01-11,82107
Yellow,大坪林,#FFD400,2024-01-12,85032
Yellow,十四張,#FFD400,2024-01-12,15700
Yellow,秀朗橋,#FFD400,2024-01-12,69852
Yellow,景平,#FFD400,2024-01-12,60896
Yellow,景安,#FFD400,2024-01-12,65228
Yellow,中和,#FFD400,2024-01-12,82394
Yellow,橋和,#FFD400,2024-01-12,31661
Yellow,中原,#FFD400,2024-01-12,7696
Yellow,板新,#FFD400,2024-01-12,20818
Yellow,板橋,#FFD400,2024-01-12,66516
Yellow,新埔民生,#FFD400,2024-01-12,11386
Yellow,頭前庄,#FFD400,2024-01-12,66127
Yellow,幸福,#FFD400,2024-01-12,46237
Yellow,新北產業園區,#FFD400,2024-01-12,42401
Yellow,大坪林,#FFD400,2024-01-13,64142
Yellow,十四張,#FFD400,2024-01-13,15832
Yellow,秀朗橋,#FFD400,2024-01-13,55329
Yellow,景平,#FFD400,2024-01-13,22702
Yellow,景安,#FFD400,2024-01-13,33049
Yellow,中和,#FFD400,2024-01-13,70625
Yellow,橋和,#FFD400,2024-01-13,83556
Yellow,中原,#FFD400,2024-01-13,46759
Yellow,板新,#FFD400,2024-01-13,28502
Yellow,板橋,#FFD400,2024-01-13,10920
Yellow,新埔民生,#FFD400,2024-01-13,23914
Yellow,頭前庄,#FFD400,2024-01-13,53759
Yellow,幸福,#FFD400,2024-01-13,34014
Yellow,新北產業園區,#FFD400,2024-01-13,33501
Yellow,大坪林,#FFD400,2024-01-14,79193
Yellow,十四張,#FFD400,2024-01-14,47434
Yellow,秀朗橋,#FFD400,2024-01-14,22540
Yellow,景平,#FFD400,2024-01-14,2048
Yellow,景安,#FFD400,2024-01-14,56122
Yellow,中和,#FFD400,2024-01-14,88393
Yellow,橋和,#FFD400,2024-01-14,79447
Yellow,中原,#FFD400,2024-01-14,72397
Yellow,板新,#FFD400,2024-01-14,1165
Yellow,板橋,#FFD400,2024-01-14,84384
Yellow,新埔民生,#FFD400,2024-01-14,13155
Yellow,頭前庄,#FFD400,2024-01-14,41202
Yellow,幸福,#FFD400,2024-01-14,78634
Yellow,新北產業園區,#FFD400,2024-01-14,22717
Yellow,大坪林,#FFD400,2024-01-15,74935
Yellow,十四張,#FFD400,2024-01-15,18810
Yellow,秀朗橋,#FFD400,2024-01-15,62299
Yellow,景平,#FFD400,2024-01-15,82183
Yellow,景安,#FFD400,2024-01-15,37579
Yellow,中和,#FFD400,2024-01-15,59972
Yellow,橋和,#FFD400,2024-01-15,86084
Yellow,中原,#FFD400,2024-01-15,71351
Yellow,板新,#FFD400,2024-01-15,14180
Yellow,板橋,#FFD400,2024-01-15,89544
Yellow,新埔民生,#FFD400,2024-01-15,51015
Yellow,頭前庄,#FFD400,2024-01-15,23569
Yellow,幸福,#FFD400,2024-01-15,9008
Yellow,新北產業園區,#FFD400,2024-01-15,76996
Yellow,大坪林,#FFD400,2024-01-16,9979
Yellow,十四張,#FFD400,2024-01-16,13861
Yellow,秀朗橋,#FFD400,2024-01-16,10219
Yellow,景平,#FFD400,2024-01-16,66960
Yellow,景安,#FFD400,2024-01-16,53635
Yellow,中和,#FFD400,2024-01-16,36989
Yellow,橋和,#FFD400,2024-01-16,47386
Yellow,中原,#FFD400,2024-01-16,21666
Yellow,板新,#FFD400,2024-01-16,51001
Yellow,板橋,#FFD400,2024-01-16,28874
Yellow,新埔民生,#FFD400,2024-01-16,74346
Yellow,頭前庄,#FFD400,2024-01-16,57243
Yellow,幸福,#FFD400,2024-01-16,33901
Yellow,新北產業園區,#FFD400,2024-01-16,2088
Yellow,大坪林,#FFD400,2024-01-17,65182
Yellow,十四張,#FFD400,2024-01-17,12827
Yellow,秀朗橋,#FFD400,2024-01-17,74534
Yellow,景平,#FFD400,2024-01-17,6018
Yellow,景安,#FFD400,2024-01-17,70636
Yellow,中和,#FFD400,2024-01-17,9017
Yellow,橋和,#FFD400,2024-01-17,29988
Yellow,中原,#FFD400,2024-01-17,71029
Yellow,板新,#FFD400,2024-01-17,69979
Yellow,板橋,#FFD400,2024-01-17,58026
Yellow,新埔民生,#FFD400,2024-01-17,38560
Yellow,頭前庄,#FFD400,2024-01-17,64507
Yellow,幸福,#FFD400,2024-01-17,47241
Yellow,新北產業園區,#FFD400,2024-01-17,61779
Yellow,大坪林,#FFD400,2024-01-18,27018
Yellow,十四張,#FFD400,2024-01-18,59387
Yellow,秀朗橋,#FFD400,2024-01-18,14565
Yellow,景平,#FFD400,2024-01-18,18109
Yellow,景安,#FFD400,2024-01-18,20862
Yellow,中和,#FFD400,2024-01-18,12224
Yellow,橋和,#FFD400,2024-01-18,80722
Yellow,中原,#FFD400,2024-01-18,10352
Yellow,板新,#FFD400,2024-01-18,24092
Yellow,板橋,#FFD400,2024-01-18,67058
Yellow,新埔民生,#FFD400,2024-01-18,61435
Yellow,頭前庄,#FFD400,2024-01-18,64653
Yellow,幸福,#FFD400,2024-01-18,16262
Yellow,新北產業園區,#FFD400,2024-01-18,68122
Yellow,大坪林,#FFD400,2024-01-19,49320
Yellow,十四張,#FFD400,2024-01-19,8230
Yellow,秀朗橋,#FFD400,2024-01-19,77124
Yellow,景平,#FFD400,2024-01-19,8607
Yellow,景安,#FFD400,2024-01-19,55310
Yellow,中和,#FFD400,2024-01-19,16624
Yellow,橋和,#FFD400,2024-01-19,59272
Yellow,中原,#FFD400,2024-01-19,76048
Yellow,板新,#FFD400,2024-01-19,80289
Yellow,板橋,#FFD400,2024-01-19,74292
Yellow,新埔民生,#FFD400,2024-01-19,22899
Yellow,頭前庄,#FFD400,2024-01-19,35498
Yellow,幸福,#FFD400,2024-01-19,10970
Yellow,新北產業園區,#FFD400,2024-01-19,77696
Yellow,大坪林,#FFD400,2024-01-20,73163
Yellow,十四張,#FFD400,2024-01-20,79900
Yellow,秀朗橋,#FFD400,2024-01-20,65580
Yellow,景平,#FFD400,2024-01-20,51972
Yellow,景安,#FFD400,2024-01-20,71701
Yellow,中和,#FFD400,2024-01-20,13544
Yellow,橋和,#FFD400,2024-01-20,70586
Yellow,中原,#FFD400,2024-01-20,14766
Yellow,板新,#FFD400,2024-01-20,63815
Yellow,板橋,#FFD400,2024-01-20,71145
Yellow,新埔民生,#FFD400,2024-01-20,57803
Yellow,頭前庄,#FFD400,2024-01-20,27226
Yellow,幸福,#FFD400,2024-01-20,7618
Yellow,新北產業園區,#FFD400,2024-01-20,81736
Yellow,大坪林,#FFD400,2024-01-21,8556
Yellow,十四張,#FFD400,2024-01-21,16735
Yellow,秀朗橋,#FFD400,2024-01-21,24616
Yellow,景平,#FFD400,2024-01-21,65674
Yellow,景安,#FFD400,2024-01-21,80663
Yellow,中和,#FFD400,2024-01-21,83869
Yellow,橋和,#FFD400,2024-01-21,73962
Yellow,中原,#FFD400,2024-01-21,68470
Yellow,板新,#FFD400,2024-01-21,29467
Yellow,板橋,#FFD400,2024-01-21,43661
Yellow,新埔民生,#FFD400,2024-01-21,66774
Yellow,頭前庄,#FFD400,2024-01-21,82560
Yellow,幸福,#FFD400,2024-01-21,7811
Yellow,新北產業園區,#FFD400,2024-01-21,50978
Yellow,大坪林,#FFD400,2024-01-22,71317
Yellow,十四張,#FFD400,2024-01-22,17446
Yellow,秀朗橋,#FFD400,2024-01-22,70436
Yellow,景平,#FFD400,2024-01-22,60364
Yellow,景安,#FFD400,2024-01-22,10972
Yellow,中和,#FFD400,2024-01-22,63991
Yellow,橋和,#FFD400,2024-01-22,15641
Yellow,中原,#FFD400,2024-01-22,76982
Yellow,板新,#FFD400,2024-01-22,83849
Yellow,板橋,#FFD400,2024-01-22,29578
Yellow,新埔民生,#FFD400,2024-01-22,11401
Yellow,頭前庄,#FFD400,2024-01-22,18429
Yellow,幸福,#FFD400,2024-01-22,74701
Yellow,新北產業園區,#FFD400,2024-01-22,83534
Yellow,大坪林,#FFD400,2024-01-23,76309
Yellow,十四張,#FFD400,2024-01-23,21020
Yellow,秀朗橋,#FFD400,2024-01-23,59761
Yellow,景平,#FFD400,2024-01-23,6610
Yellow,景安,#FFD400,2024-01-23,82330
Yellow,中和,#FFD400,2024-01-23,41669
Yellow,橋和,#FFD400,2024-01-23,15789
Yellow,中原,#FFD400,2024-01-23,17773
Yellow,板新,#FFD400,2024-01-23,42644
Yellow,板橋,#FFD400,2024-01-23,48586
Yellow,新埔民生,#FFD400,2024-01-23,10527
Yellow,頭前庄,#FFD400,2024-01-23,30548
Yellow,幸福,#FFD400,2024-01-23,34822
Yellow,新北產業園區,#FFD400,2024-01-23,78452
Yellow,大坪林,#FFD400,2024-01-24,27929
Yellow,十四張,#FFD400,2024-01-24,74024
Yellow,秀朗橋,#FFD400,2024-01-24,80491
Yellow,景平,#FFD400,2024-01-24,59042
Yellow,景安,#FFD400,2024-01-24,35936
Yellow,中和,#FFD400,2024-01-24,33577
Yellow,橋和,#FFD400,2024-01-24,72335
Yellow,中原,#FFD400,2024-01-24,33427
Yellow,板新,#FFD400,2024-01-24,58501
Yellow,板橋,#FFD400,2024-01-24,33692
Yellow,新埔民生,#FFD400,2024-01-24,57821
Yellow,頭前庄,#FFD400,2024-01-24,28332
Yellow,幸福,#FFD400,2024-01-24,30060
Yellow,新北產業園區,#FFD400,2024-01-24,20477
Yellow,大坪林,#FFD400,2024-01-25,40054
Yellow,十四張,#FFD400,2024-01-25,7052
Yellow,秀朗橋,#FFD400,2024-01-25,88423
Yellow,景平,#FFD400,2024-01-25,42227
Yellow,景安,#FFD400,2024-01-25,30592
Yellow,中和,#FFD400,2024-01-25,3419
Yellow,橋和,#FFD400,2024-01-25,10873
Yellow,中原,#FFD400,2024-01-25,65073
Yellow,板新,#FFD400,2024-01-25,67962
Yellow,板橋,#FFD400,2024-01-25,23162
Yellow,新埔民生,#FFD400,2024-01-25,5185
Yellow,頭前庄,#FFD400,2024-01-25,49864
Yellow,幸福,#FFD400,2024-01-25,60394
Yellow,新北產業園區,#FFD400,2024-01-25,26184
Yellow,大坪林,#FFD400,2024-01-26,20085
Yellow,十四張,#FFD400,2024-01-26,85149
Yellow,秀朗橋,#FFD400,2024-01-26,61843
Yellow,景平,#FFD400,2024-01-26,11071
Yellow,景安,#FFD400,2024-01-26,76063
Yellow,中和,#FFD400,2024-01-26,70178
Yellow,橋和,#FFD400,2024-01-26,48710
Yellow,中原,#FFD400,2024-01-26,36974
Yellow,板新,#FFD400,2024-01-26,52930
Yellow,板橋,#FFD400,2024-01-26,18601
Yellow,新埔民生,#FFD400,2024-01-26,74594
Yellow,頭前庄,#FFD400,2024-01-26,14905
Yellow,幸福,#FFD400,2024-01-26,58242
Yellow,新北產業園區,#FFD400,2024-01-26,13926
Yellow,大坪林,#FFD400,2024-01-27,8060
Yellow,十四張,#FFD400,2024-01-27,46794
Yellow,秀朗橋,#FFD400,2024-01-27,21683
Yellow,景平,#FFD400,2024-01-27,18382
Yellow,景安,#FFD400,2024-01-27,82604
Yellow,中和,#FFD400,2024-01-27,20746
Yellow,橋和,#FFD400,2024-01-27,74512
Yellow,中原,#FFD400,2024-01-27,21625
Yellow,板新,#FFD400,2024-01-27,74734
Yellow,板橋,#FFD400,2024-01-27,10735
