Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2017-01-01,9584,1173713,552875,1130424,568354,328338,3763288
2017-01-02,9494,929926,505435,1005342,467140,305038,3222375
2017-01-03,14958,1074523,751600,1200670,647672,480926,4170349
2017-01-04,15012,1087352,761506,1199088,652403,487524,4202885
2017-01-05,15248,1090016,768780,1213264,659439,493928,4240675
2017-01-06,17008,1188518,815372,1361564,715476,530766,4628704
2017-01-07,12887,1037150,659629,1199170,596962,369468,3875266
2017-01-08,10012,870446,519653,985808,461910,287674,3135503
2017-01-09,14782,1042036,744638,1185918,633441,469704,4090519
2017-01-10,14958,1060686,759520,1206441,649916,486518,4178039
2017-01-11,15568,1069440,767797,1223860,658096,493740,4228501
2017-01-12,15402,1080192,771497,1244401,666421,498529,4276442
2017-01-13,16774,1164494,839822,1402646,744546,549748,4718030
2017-01-14,11784,991433,658220,1233651,598016,373708,3866812
2017-01-15,11066,888213,559185,1055046,497480,304594,3315584
2017-01-16,14756,1054698,746903,1225260,657707,470868,4170192
2017-01-17,15726,1091382,752582,1248972,670284,490482,4269428
2017-01-18,15945,1093696,766776,1265728,676464,489473,4308082
2017-01-19,16460,1157126,811614,1365140,731516,517696,4599552
2017-01-20,16542,1218137,820116,1423365,734665,519828,4732653
2017-01-21,12316,1089232,669994,1257126,620566,375130,4024364
2017-01-22,10317,1022646,580483,1158580,557089,330518,3659633
2017-01-23,14936,1134912,764590,1327356,681808,480363,4403965
2017-01-24,15349,1149906,773261,1344917,697900,493700,4475033
2017-01-25,15022,1086440,753354,1330254,675158,479958,4340186
2017-01-26,12258,949348,652589,1204681,575365,406571,3800812
2017-01-27,5100,444746,275490,496064,215986,143876,1581262
2017-01-28,7268,842036,445219,860477,351438,225102,2731540
2017-01-29,7569,898282,437546,853208,369818,242750,2809173
2017-01-30,7556,880244,439786,955588,384890,242838,2910902
2017-01-31,9318,959184,492836,1037081,439863,279845,3218127
2017-02-01,8721,887799,495330,1013927,440775,280254,3126806
2017-02-02,12403,1022640,676159,1247262,597614,421244,3977322
2017-02-03,13222,1121414,718130,1354169,647689,461412,4316036
2017-02-04,10243,1030689,624241,1313114,642373,358896,3979556
2017-02-05,8610,901182,544046,1124496,536112,303466,3417912
2017-02-06,14444,1075034,740986,1316329,676941,462284,4286018
2017-02-07,14884,1124310,757898,1332010,688886,483270,4401258
2017-02-08,15456,1159308,772804,1353934,698601,485292,4485395
2017-02-09,14870,1110931,758532,1314855,686590,468588,4354366
2017-02-10,15180,1196395,805875,1456582,737624,502905,4714561
2017-02-11,10860,1062807,661628,1377383,707752,374353,4194783
2017-02-12,10401,1007550,574895,1174045,575764,308873,3651528
2017-02-13,14874,1098503,740402,1229700,653334,464598,4201411
2017-02-14,15330,1124457,756363,1275981,668712,488730,4329573
2017-02-15,14938,1104962,757842,1243673,659258,481935,4262608
2017-02-16,15054,1108396,756102,1247772,667640,484549,4279513
2017-02-17,15736,1187048,785180,1335464,704075,506467,4533970
2017-02-18,14580,1170890,762604,1343554,693197,468066,4452891
2017-02-19,10500,1078872,590749,1129068,558600,348628,3716417
2017-02-20,15058,1104997,768798,1224924,652271,485390,4251438
2017-02-21,15368,1114202,776096,1235554,662045,498622,4301887
2017-02-22,15372,1073766,780150,1244028,665870,499147,4278333
2017-02-23,15534,1079504,783236,1249118,674652,503136,4305180
2017-02-24,16384,1165923,839544,1401522,729114,535327,4687814
2017-02-25,10820,934080,602357,1192894,542665,327842,3610658
2017-02-26,9138,943676,553832,1132052,513794,286638,3439130
2017-02-27,10176,1074803,589558,1171930,524201,330934,3701602
2017-02-28,8591,885610,531452,1040458,470096,292830,3229037
2017-03-01,14854,1071008,766344,1195937,650690,477707,4176540
2017-03-02,14601,1054588,763766,1196513,653063,482962,4165493
2017-03-03,15774,1174648,814506,1335484,714119,518138,4572669
2017-03-04,11609,1098256,663513,1218474,643380,384082,4019314
2017-03-05,10436,994720,577804,1060442,554571,336676,3534649
2017-03-06,14806,1058952,778107,1207512,656824,484025,4200226
2017-03-07,15050,1087960,786270,1233882,671270,501902,4296334
2017-03-08,15316,1115839,798492,1273597,690308,509564,4403116
2017-03-09,15210,1117754,792922,1268086,688356,509836,4392164
2017-03-10,16549,1209450,853047,1420311,753238,543788,4796383
2017-03-11,11612,1154240,684446,1294545,660164,391164,4196171
2017-03-12,9926,1045392,582275,1129550,557174,333718,3658035
2017-03-13,14817,1077581,782546,1230396,666363,484356,4256059
2017-03-14,15022,1094559,795698,1244028,686044,497674,4333025
2017-03-15,15304,1112678,788498,1247276,684926,498402,4347084
2017-03-16,15482,1121168,802354,1279558,696438,506054,4421054
2017-03-17,16386,1259228,840271,1399156,745733,529081,4789855
2017-03-18,12093,1210243,694616,1287158,640002,387118,4231230
2017-03-19,9168,998296,554511,1064865,503577,306940,3437357
2017-03-20,14362,1076552,754281,1196676,645744,473206,4160821
2017-03-21,14887,1088523,770319,1222120,666050,494324,4256223
2017-03-22,15211,1122752,782669,1257714,673923,508064,4360333
2017-03-23,15114,1111382,794337,1277663,688039,516462,4402997
2017-03-24,15872,1247608,832136,1412402,745118,546227,4799363
2017-03-25,11555,1023266,665756,1241144,613536,390610,3945867
2017-03-26,9892,901538,545952,1037884,501552,310317,3307135
2017-03-27,14442,1091676,757974,1201459,657745,478877,4202173
2017-03-28,14698,1105444,778650,1218796,673285,493094,4283967
2017-03-29,15242,1240330,807346,1259000,698141,510066,4530125
2017-03-30,15176,1118346,783410,1245132,682224,500302,4344590
2017-03-31,15854,1195032,807344,1398068,726756,514128,4657182
2017-04-01,9932,1043878,589742,1134309,529254,335079,3642194
2017-04-02,9056,1094797,543442,1061117,495060,337909,3541381
2017-04-03,8980,1063092,521678,1017586,474592,334034,3419962
2017-04-04,8022,854132,466576,883908,414667,290154,2917459
2017-04-05,14388,1062626,733408,1204228,629528,472982,4117160
2017-04-06,15028,1067486,769458,1249420,656598,502030,4260020
2017-04-07,15658,1174268,828574,1395180,722402,534069,4670151
2017-04-08,11218,1125318,665091,1264113,621240,397102,4084082
2017-04-09,10076,1030130,559327,1098958,502870,337730,3539091
2017-04-10,14325,1076422,755368,1202536,642138,471688,4162477
2017-04-11,15022,1076246,788655,1239188,672364,495723,4287198
2017-04-12,15282,1097964,789770,1268210,684033,503428,4358687
2017-04-13,15058,1120058,779530,1263030,677195,503184,4358055
2017-04-14,16010,1233358,818546,1389095,733820,528042,4718871
2017-04-15,11388,1153514,667647,1265450,629803,391649,4119451
2017-04-16,10062,999956,557058,1063684,513904,312174,3456838
2017-04-17,14357,1056968,739724,1188728,632810,462392,4094979
2017-04-18,14591,1062946,756810,1204661,649302,481751,4170061
2017-04-19,15241,1087271,771224,1244078,662780,494762,4275356
2017-04-20,14875,1099329,768402,1249188,665436,492538,4289768
2017-04-21,16006,1217602,818178,1414192,726003,534674,4726655
2017-04-22,11668,1057969,666532,1300159,622652,374416,4033396
2017-04-23,9208,1020752,556772,1089168,511989,317465,3505354
2017-04-24,14260,1038944,749876,1186437,640542,469216,4099275
2017-04-25,14756,1072649,760548,1197801,655440,487720,4188914
2017-04-26,14784,1075426,769396,1218572,663254,487076,4228508
2017-04-27,15000,1073695,790846,1248350,680478,502436,4310805
2017-04-28,15810,1229751,817948,1390956,726644,537946,4719055
2017-04-29,10956,1124020,653967,1253456,621082,392472,4055953
2017-04-30,9398,1038307,556522,1109804,543456,336248,3593735
2017-05-01,10664,1007979,593978,1043047,519356,354500,3529524
2017-05-02,14192,1079280,755174,1180910,651276,474928,4155760
2017-05-03,14622,1107659,770224,1226331,674050,488904,4281790
